Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,8665,8744,99,
1. MSitAE Comparison,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Apr-20,All Patients,11125,12993,86,
1. MSitAE Comparison,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6185,6891,90,
1. MSitAE Comparison,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,4665,4663,100,
1. MSitAE Comparison,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Apr-20,All Patients,4965,4980,100,
1. MSitAE Comparison,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6550,6556,100,
1. MSitAE Comparison,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,700,2360,30,
1. MSitAE Comparison,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,Apr-20,All Patients,4295,4472,96,
1. MSitAE Comparison,RVJ,NORTH BRISTOL NHS TRUST,Apr-20,All Patients,4125,4127,100,
1. MSitAE Comparison,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Apr-20,All Patients,6110,6373,96,
1. MSitAE Comparison,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Apr-20,All Patients,10225,10225,100,
1. MSitAE Comparison,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Apr-20,All Patients,5440,5815,94,
1. MSitAE Comparison,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,Apr-20,All Patients,3405,4309,79,
1. MSitAE Comparison,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,310,283,-,
1. MSitAE Comparison,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,Apr-20,All Patients,14900,14931,100,
1. MSitAE Comparison,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Apr-20,All Patients,6465,6476,100,
1. MSitAE Comparison,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,6830,9037,76,
1. MSitAE Comparison,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Apr-20,All Patients,9130,9218,99,
1. MSitAE Comparison,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,Apr-20,All Patients,7485,7879,95,
1. MSitAE Comparison,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,6585,6619,99,
1. MSitAE Comparison,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Apr-20,All Patients,6655,7228,92,
1. MSitAE Comparison,RWJ,STOCKPORT NHS FOUNDATION TRUST,Apr-20,All Patients,4775,4780,100,
1. MSitAE Comparison,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Apr-20,All Patients,8430,8308,101,
1. MSitAE Comparison,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,4755,4757,100,
1. MSitAE Comparison,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,85,1068,-,
1. MSitAE Comparison,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Apr-20,All Patients,6880,6895,100,
1. MSitAE Comparison,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Apr-20,All Patients,9185,9184,100,
1. MSitAE Comparison,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,Apr-20,All Patients,6270,6270,100,
1. MSitAE Comparison,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,9985,9978,100,
1. MSitAE Comparison,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Apr-20,All Patients,8150,7163,114,
1. MSitAE Comparison,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,3745,7302,51,
1. MSitAE Comparison,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6315,6865,92,
1. MSitAE Comparison,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Apr-20,All Patients,7245,8987,81,
1. MSitAE Comparison,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Apr-20,All Patients,3690,5562,66,
1. MSitAE Comparison,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,7955,7955,100,
1. MSitAE Comparison,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Apr-20,All Patients,5530,5680,97,
1. MSitAE Comparison,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,1395,1395,100,
1. MSitAE Comparison,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,Apr-20,All Patients,4155,2348,177,
1. MSitAE Comparison,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Apr-20,All Patients,5250,2626,200,
