INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,0.9128,2,109070,2780,3045,0.9449,1.0573,0.8929,1.12
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1.0312,2,41315,1480,1435,0.9204,1.0843,0.8875,1.1268
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1.064,2,45975,1640,1545,0.9232,1.0812,0.8882,1.1259
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1.0389,2,50990,1515,1455,0.921,1.0837,0.8876,1.1266
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,0.9666,2,107285,2760,2855,0.9432,1.0592,0.8925,1.1204
I00699,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.9765,2,72545,2730,2795,0.9426,1.0599,0.8924,1.1205
I00699,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0.9653,2,41945,1815,1880,0.9303,1.0733,0.8899,1.1238
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1.0573,2,80195,3460,3275,0.9469,1.0552,0.8932,1.1195
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0.8957,2,64250,1140,1270,0.9156,1.0897,0.8862,1.1284
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,0.8642,3,95195,2895,3350,0.9475,1.0545,0.8933,1.1194
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.9578,2,231765,6900,7205,0.964,1.0369,0.8958,1.1163
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,0.9165,2,108595,2460,2685,0.9414,1.0611,0.8922,1.1208
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1.0341,2,98065,2840,2745,0.9421,1.0604,0.8923,1.1206
I00699,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,0.8735,3,97940,3680,4215,0.9531,1.0485,0.8943,1.1182
I00699,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,0.9215,2,135185,4540,4930,0.9566,1.0448,0.8948,1.1176
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,0.9842,2,165065,4105,4175,0.9528,1.0488,0.8942,1.1183
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0.9717,2,56875,2015,2070,0.9335,1.0698,0.8906,1.1229
I00699,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,0.9829,2,148470,4280,4355,0.9538,1.0477,0.8944,1.1181
I00699,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1.1112,2,77185,2460,2215,0.9356,1.0674,0.891,1.1223
I00699,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1.0499,2,151625,5290,5040,0.957,1.0443,0.8949,1.1175
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,0.9187,2,71390,1595,1740,0.9275,1.0764,0.8892,1.1246
I00699,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9519,2,35915,1430,1500,0.9221,1.0824,0.8879,1.1262
I00699,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1.0449,2,61950,2145,2055,0.9332,1.0701,0.8905,1.123
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,0.8843,3,41560,1515,1710,0.927,1.077,0.8891,1.1248
I00699,RKE,WHITTINGTON HEALTH NHS TRUST,0.9985,2,21785,610,610,0.8794,1.1317,0.8748,1.1431
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1.0295,2,63475,2085,2025,0.9328,1.0706,0.8904,1.1231
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1.0353,2,74580,2980,2880,0.9434,1.0589,0.8926,1.1203
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1.0513,2,46895,1730,1645,0.9255,1.0786,0.8887,1.1252
I00699,RLQ,WYE VALLEY NHS TRUST,0.983,2,35355,1350,1370,0.9187,1.0863,0.887,1.1274
I00699,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9827,2,94830,3215,3275,0.9469,1.0552,0.8932,1.1195
