code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RBT,2023-24,88.7,2.436,0.0696,3.53468425189973,167.0,11.3,7.35,540.4615384615385,83320.0,499.0,1506.0,0.923,2.787,3.018,Attention
REM,2023-24,92.7,2.593,0.1316,5.7024839113596,234.0,7.3,0.01,1608.0549450549452,183170.0,1755.0,4074.0,1.091,2.533,2.321,Critique
RJN,2023-24,91.8,3.027,0.0757,6.27654152163103,226.0,8.2,0.85,333.010989010989,26410.0,298.0,766.0,0.895,2.3,2.57,Attention
RJR,2023-24,88.9,2.418,0.1535,4.38877841782661,227.0,11.1,7.07,517.2857142857143,79485.0,557.0,1300.0,1.077,2.513,2.334,Attention
RM3,2023-24,83.1,2.554,0.1318,4.45705763867369,210.0,16.9,1.35,1595.3076923076924,229950.0,2079.0,5721.0,1.303,3.586,2.752,Normal
RMC,2023-24,89.8,2.702,0.2368,4.06101040325667,202.0,10.2,7.92,695.7252747252747,80665.0,622.0,1956.0,0.894,2.811,3.145,Attention
RMP,2023-24,90.3,2.619,0.1504,3.50341216007257,194.0,9.7,1.14,474.3076923076923,58520.0,421.0,1223.0,0.888,2.578,2.905,Attention
RRF,2023-24,89.6,2.689,0.1174,3.89452250485064,180.0,10.4,0.92,546.054945054945,83455.0,641.0,1920.0,1.174,3.516,2.995,Attention
RTX,2023-24,87.1,2.468,0.1403,4.03147442597525,167.0,12.9,0.79,687.2307692307693,102630.0,669.0,2240.0,0.973,3.259,3.348,Attention
RWJ,2023-24,90.6,2.387,0.1567,4.48735182919033,229.0,9.4,1.64,688.1648351648352,86780.0,643.0,1778.0,0.934,2.584,2.765,Attention
RWW,2023-24,90.9,2.38,0.1377,5.59498556122311,208.0,9.1,1.38,629.7582417582418,61740.0,474.0,1150.0,0.753,1.826,2.426,Attention
RXL,2023-24,95.9,2.53,0.1056,5.37406160164271,316.0,4.1,1.47,777.0,117460.0,674.0,2534.0,0.867,3.261,3.76,Critique
RXN,2023-24,93.5,2.31,0.2214,4.27945073205785,208.0,6.5,5.58,956.2307692307693,137280.0,1081.0,2682.0,1.13,2.805,2.481,Critique
