INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9476,2,116145,3250,3430,0.9481,1.0539,0.8934,1.1193
I00699,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,0.9567,2,85465,2890,3020,0.9447,1.0575,0.8928,1.1201
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,0.9533,2,63715,1815,1905,0.9307,1.0729,0.8899,1.1237
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,0.9863,2,57415,1970,2000,0.9323,1.0711,0.8903,1.1232
I00699,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,0.9633,2,86440,3030,3145,0.9458,1.0563,0.893,1.1198
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,0.8301,3,89925,2195,2645,0.941,1.0615,0.8921,1.1209
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0.8321,3,52700,1225,1475,0.9214,1.0831,0.8877,1.1265
I00699,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,0.9841,2,56490,1800,1830,0.9293,1.0744,0.8896,1.1241
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,1.1365,1,32125,1065,935,0.902,1.1052,0.8823,1.1334
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1.0659,2,60450,1930,1810,0.9289,1.0748,0.8895,1.1242
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9881,2,108615,3375,3415,0.948,1.054,0.8934,1.1193
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1.0842,2,58150,2100,1935,0.9312,1.0723,0.89,1.1235
I00699,RH5,SOMERSET NHS FOUNDATION TRUST,0.988,2,75485,2890,2925,0.9438,1.0585,0.8926,1.1203
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1.0966,2,75530,2555,2330,0.9372,1.0657,0.8913,1.1219
I00699,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1.0889,2,76740,3125,2870,0.9433,1.059,0.8925,1.1204
I00699,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1.0209,2,39665,1290,1265,0.9154,1.09,0.8861,1.1285
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1.0119,2,29300,1140,1125,0.9104,1.0956,0.8847,1.1303
I00699,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9503,2,60435,1595,1675,0.9262,1.0778,0.8889,1.125
I00699,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,1.0079,2,80470,2270,2250,0.9361,1.0669,0.8911,1.1222
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,0.9779,2,51855,1735,1775,0.9283,1.0755,0.8894,1.1244
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,0.9759,2,50150,1715,1755,0.9279,1.076,0.8893,1.1245
I00699,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1.0672,2,36215,1360,1275,0.9156,1.0897,0.8862,1.1284
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,1.1207,2,68880,2310,2060,0.9333,1.0699,0.8905,1.123
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,0.92,2,36065,790,860,0.8978,1.1101,0.881,1.1351
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,0.917,2,104360,2555,2785,0.9425,1.06,0.8924,1.1206
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1.076,2,39780,1230,1140,0.911,1.0949,0.8849,1.1301
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1.0231,2,41175,1395,1360,0.9183,1.0866,0.8869,1.1275
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1.075,2,44685,1345,1255,0.915,1.0904,0.886,1.1287
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,0.8996,2,98435,2305,2560,0.94,1.0626,0.8919,1.1212
I00699,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.9808,2,64665,2340,2385,0.9379,1.0649,0.8915,1.1217
I00699,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1.018,2,35785,1605,1575,0.924,1.0803,0.8883,1.1257
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1.0266,2,72940,3090,3010,0.9446,1.0576,0.8928,1.1201
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0.7706,3,72440,980,1275,0.9156,1.0897,0.8862,1.1284
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,0.8182,3,88880,2520,3085,0.9453,1.0569,0.8929,1.1199
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.9819,2,196950,6210,6325,0.9616,1.0395,0.8955,1.1167
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,0.9746,2,89545,2325,2385,0.9379,1.0649,0.8915,1.1217
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1.0855,2,95505,2655,2445,0.9387,1.0641,0.8916,1.1215
I00699,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,0.8758,3,86835,3240,3700,0.95,1.0519,0.8937,1.1189
I00699,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,0.9185,2,122545,4040,4400,0.9541,1.0475,0.8944,1.1181
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1.037,2,144845,3830,3695,0.9499,1.0519,0.8937,1.1189
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0.9796,2,48900,1785,1825,0.9292,1.0745,0.8896,1.1241
I00699,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1.0269,2,129440,3735,3635,0.9495,1.0523,0.8937,1.119
I00699,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1.0602,2,66735,2100,1980,0.932,1.0714,0.8902,1.1233
I00699,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1.0875,2,125505,4940,4540,0.9548,1.0467,0.8945,1.1179
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,1.0592,2,63125,1620,1530,0.9229,1.0815,0.8881,1.1261
I00699,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,1.0057,2,35535,1270,1260,0.9152,1.0901,0.8861,1.1286
I00699,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1.0025,2,57700,1935,1930,0.9312,1.0723,0.89,1.1236
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1.0069,2,35145,1390,1380,0.9189,1.086,0.887,1.1274
I00699,RKE,WHITTINGTON HEALTH NHS TRUST,0.9038,2,20390,495,550,0.8731,1.1392,0.8725,1.1461
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1.0578,2,58195,1865,1765,0.9281,1.0758,0.8893,1.1245
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1.0308,2,69380,2730,2645,0.941,1.0615,0.8921,1.1209
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1.0944,2,40375,1625,1485,0.9217,1.0829,0.8878,1.1264
I00699,RLQ,WYE VALLEY NHS TRUST,1.0221,2,29690,1160,1135,0.9109,1.0951,0.8849,1.1301
I00699,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9513,2,83450,2745,2885,0.9434,1.0589,0.8926,1.1204
