INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,95,15640,1
I00731,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,230,10565,2
I00731,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,20,3515,1
I00731,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,*,2085,*
I00731,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60,12000,1
I00731,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,40,5440,1
I00731,RWJ,STOCKPORT NHS FOUNDATION TRUST,20,4640,0
I00731,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,20,4150,0
I00731,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,*,2215,*
I00731,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,50,5275,1
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,*,2775,*
I00731,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,145,19755,1
I00731,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,*,2555,*
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",25,3165,1
I00731,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,25,4330,1
I00731,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,40,6820,1
I00731,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,20,3870,1
I00731,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,35,3140,1
I00731,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,70,7260,1
I00731,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,135,33645,0
I00731,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,85,16810,1
I00731,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,115,23335,0
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,70,11430,1
I00731,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,60,9135,1
I00731,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,75,13360,1
I00731,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,65,12975,1
I00731,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,95,18010,1
I00731,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,15,4335,0
I00731,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,85,12925,1
I00731,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,90,10385,1
I00731,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,135,15740,1
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,110,4470,2
I00731,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,*,2880,*
I00731,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,15,5405,0
I00731,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,3480,*
I00731,RKE,WHITTINGTON HEALTH NHS TRUST,*,2145,*
