INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02039,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,900,41945,2.1
I02039,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1085,80195,1.4
I02039,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,905,64250,1.4
I02039,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1605,95195,1.7
I02039,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,5260,231765,2.3
I02039,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,1710,108595,1.6
I02039,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1210,98065,1.2
I02039,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1920,97940,2
I02039,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,2825,135185,2.1
I02039,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,2480,165065,1.5
I02039,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1055,56875,1.9
I02039,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2845,148470,1.9
I02039,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,965,77185,1.3
I02039,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,2755,151625,1.8
I02039,RBK,WALSALL HEALTHCARE NHS TRUST,1005,71390,1.4
I02039,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,1065,35915,3
I02039,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1115,61950,1.8
I02039,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1185,41560,2.9
I02039,RKE,WHITTINGTON HEALTH NHS TRUST,595,21785,2.7
